1 , confs , 
f5aa99cbbd17b6e8,10.82.96.134 , True , /data/logs , 192.168.99.4/32 , ro , , , , , , 
3245826993d096e3,10.102.9.3 , True , /data/export , * , rw , no_root_squash , , async , , , 
22c5824283c7d6e3,100.106.1.3 , True , /data/export , * , rw , no_root_squash , , async , , , 
22c5824283c7d6e3,100.106.1.3 , True , /data/nfs , * , rw , no_root_squash , , async , , , 
d711ec67e11476ac,100.111.11.6 , True , /data/www/opt/www/ueditor , * , rw , no_root_squash , , , , , 
21ab656a5109b6ee,100.101.3.1 , True , /data/nfs , * , rw , no_root_squash , , async , , , 
9164765054fb76e2,100.109.100.218 , True , /data/public , 100.109.100.219 , rw , , , , , , 
1eb1e627e13e46ac,100.111.11.3 , True , /data/public , * , rw , no_root_squash , , , , , 
20824d112b8d66ca,100.126.10.239 , True , /data/public , 100.126.10.* , rw , no_root_squash , , , , , 
e0a2a1d7e10d56cb,100.73.13.13 , True , /data/public , * , rw , no_root_squash , insecure , , , , 
ec31efc7e10ba6ac,100.111.11.9 , True , /data/public , 100.*.*.* , rw , no_root_squash , , , , , 
086adc7d52d926e8,192.168.99.3 , True , /data/logs , 192.168.99.4/32 , ro , , , , , , 
b135827eb3c8e6e3,100.102.9.2 , True , /data/export , * , rw , no_root_squash , , async , , , 
a8f175e12b9da6cb,100.66.227.177 , True , /home/data/veradm/ , 100.66.227.0/24 , rw , anonuid=500 , insecure , sync , , , 
